genre,number of followers
n/a,121779
hyperpop,344154
indie hip hop,388758
adult standards,576348
reggaeton flow,827494
gen z singer-songwriter,1060178
bedroom pop,1709662
oklahoma country,1717770
afro r&b,1758530
modern indie pop,1985526
pluggnb,2889340
nigerian pop,2919560
country rap,3280856
alternative hip hop,4029784
deep underground hip hop,5429436
gauze pop,7023650
black americana,8956430
alt z,9389390
escape room,10397974
modern alternative rock,12090610
viral pop,14981010
florida rap,17460134
baton rouge rap,20052646
contemporary country,20497873
glam rock,21013492
rap,21695402
colombian pop,21755294
hip hop,23894304
lgbtq+ hip hop,24201674
piano rock,29273338
melodic rap,32008446
australian dance,50029472
emo rap,55094590
big room,56793844
conscious hip hop,59186299
atl hip hop,62559181
dfw rap,77905066
chicago rap,80812802
modern rock,87584852
barbadian pop,102546738
canadian contemporary r&b,107277806
reggaeton,120207936
detroit hip hop,124955890
canadian pop,135888358
canadian hip hop,138818278
art pop,164672303
pop,356037557
dance pop,459781202
